"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","VersionInfo","BaseName","Target","LinkType","Name","Length","DirectoryName","Directory","IsReadOnly","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\pain.PNG","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","pain.PNG","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\pain.PNG
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","pain","System.Collections.Generic.List`1[System.String]",,"pain.PNG","51079","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\pain.PNG",".PNG","3/8/2021 9:00:58 PM","3/9/2021 2:00:58 AM","4/10/2021 4:37:51 PM","4/10/2021 8:37:51 PM","3/8/2021 9:00:58 PM","3/9/2021 2:00:58 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\esxihost.PNG","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","esxihost.PNG","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\esxihost.PNG
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","esxihost","System.Collections.Generic.List`1[System.String]",,"esxihost.PNG","68053","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\esxihost.PNG",".PNG","3/8/2021 9:26:03 PM","3/9/2021 2:26:03 AM","4/10/2021 4:37:51 PM","4/10/2021 8:37:51 PM","3/8/2021 9:26:03 PM","3/9/2021 2:26:03 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\pain2.PNG","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","pain2.PNG","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\pain2.PNG
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","pain2","System.Collections.Generic.List`1[System.String]",,"pain2.PNG","31740","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\pain2.PNG",".PNG","3/8/2021 9:27:39 PM","3/9/2021 2:27:39 AM","4/10/2021 4:37:51 PM","4/10/2021 8:37:51 PM","3/8/2021 9:27:39 PM","3/9/2021 2:27:39 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\adapters.PNG","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","adapters.PNG","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\adapters.PNG
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","adapters","System.Collections.Generic.List`1[System.String]",,"adapters.PNG","412976","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\adapters.PNG",".PNG","3/9/2021 11:28:56 AM","3/9/2021 4:28:56 PM","4/10/2021 4:04:51 PM","4/10/2021 8:04:51 PM","3/9/2021 11:28:56 AM","3/9/2021 4:28:56 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\InstructionsInPerson.txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","InstructionsInPerson.txt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\InstructionsInPerson.txt
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","InstructionsInPerson","System.Collections.Generic.List`1[System.String]",,"InstructionsInPerson.txt","311","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\InstructionsInPerson.txt",".txt","3/8/2021 1:55:05 PM","3/8/2021 6:55:05 PM","4/10/2021 4:37:51 PM","4/10/2021 8:37:51 PM","3/9/2021 5:21:26 PM","3/9/2021 10:21:26 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\Matt-Resume-3.10.docx","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","Matt-Resume-3.10.docx","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\Matt-Resume-3.10.docx
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Matt-Resume-3.10","System.Collections.Generic.List`1[System.String]",,"Matt-Resume-3.10.docx","8998","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\Matt-Resume-3.10.docx",".docx","3/10/2021 4:06:01 PM","3/10/2021 9:06:01 PM","4/10/2021 4:37:51 PM","4/10/2021 8:37:51 PM","3/10/2021 4:06:38 PM","3/10/2021 9:06:38 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\Deck - Kotva 5-0 list.txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","Deck - Kotva 5-0 list.txt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\Deck - Kotva 5-0 list.txt
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Deck - Kotva 5-0 list","System.Collections.Generic.List`1[System.String]",,"Deck - Kotva 5-0 list.txt","612","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\Deck - Kotva 5-0 list.txt",".txt","3/11/2021 11:42:12 AM","3/11/2021 4:42:12 PM","4/10/2021 4:37:51 PM","4/10/2021 8:37:51 PM","3/11/2021 11:42:16 AM","3/11/2021 4:42:16 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\basedmiller.jfif","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","basedmiller.jfif","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\basedmiller.jfif
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","basedmiller","System.Collections.Generic.List`1[System.String]",,"basedmiller.jfif","49801","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\basedmiller.jfif",".jfif","3/11/2021 7:04:30 PM","3/12/2021 12:04:30 AM","4/10/2021 4:04:52 PM","4/10/2021 8:04:52 PM","3/11/2021 7:04:40 PM","3/12/2021 12:04:40 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\okaygotit.jpg","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","okaygotit.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\okaygotit.jpg
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","okaygotit","System.Collections.Generic.List`1[System.String]",,"okaygotit.jpg","20689","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\okaygotit.jpg",".jpg","3/11/2021 7:05:52 PM","3/12/2021 12:05:52 AM","4/10/2021 4:37:51 PM","4/10/2021 8:37:51 PM","3/11/2021 7:05:57 PM","3/12/2021 12:05:57 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\NET-330-Module6-OSPF-Starter.pkt","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","NET-330-Module6-OSPF-Starter.pkt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\NET-330-Module6-OSPF-Starter.pkt
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","NET-330-Module6-OSPF-Starter","System.Collections.Generic.List`1[System.String]",,"NET-330-Module6-OSPF-Starter.pkt","71263","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\NET-330-Module6-OSPF-Starter.pkt",".pkt","3/15/2021 7:41:26 PM","3/15/2021 11:41:26 PM","4/10/2021 4:37:51 PM","4/10/2021 8:37:51 PM","3/15/2021 7:41:35 PM","3/15/2021 11:41:35 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\ECKHARDT-OSPF.pkt","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","ECKHARDT-OSPF.pkt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\ECKHARDT-OSPF.pkt
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","ECKHARDT-OSPF","System.Collections.Generic.List`1[System.String]",,"ECKHARDT-OSPF.pkt","105450","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\ECKHARDT-OSPF.pkt",".pkt","3/15/2021 8:25:11 PM","3/16/2021 12:25:11 AM","4/10/2021 4:37:51 PM","4/10/2021 8:37:51 PM","3/15/2021 8:25:12 PM","3/16/2021 12:25:12 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\March 1st 2021 ? bronsonleclerc_Tech_Journal Wiki.pdf","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","March 1st 2021 ? bronsonleclerc_Tech_Journal Wiki.pdf","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\March 1st 2021 ? bronsonleclerc_Tech_Journal Wiki.pdf
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","March 1st 2021 ? bronsonleclerc_Tech_Journal Wiki","System.Collections.Generic.List`1[System.String]",,"March 1st 2021 ? bronsonleclerc_Tech_Journal Wiki.pdf","515730","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\March 1st 2021 ? bronsonleclerc_Tech_Journal Wiki.pdf",".pdf","3/18/2021 5:07:52 PM","3/18/2021 9:07:52 PM","4/10/2021 4:37:51 PM","4/10/2021 8:37:51 PM","3/18/2021 5:07:54 PM","3/18/2021 9:07:54 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\Git-2.31.0-64-bit.exe","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","Git-2.31.0-64-bit.exe","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\Git-2.31.0-64-bit.exe
InternalName:     
OriginalFilename:                                                   
FileVersion:      2.31.0.1            
FileDescription:  Git Setup                                                   
Product:          Git                                                         
ProductVersion:   2.31.0                                            
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         Language Neutral
","Git-2.31.0-64-bit","System.Collections.Generic.List`1[System.String]",,"Git-2.31.0-64-bit.exe","50351328","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\Git-2.31.0-64-bit.exe",".exe","3/20/2021 3:39:27 PM","3/20/2021 7:39:27 PM","4/10/2021 4:37:51 PM","4/10/2021 8:37:51 PM","3/20/2021 3:39:38 PM","3/20/2021 7:39:38 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\Offline_Backup_Concept.ps1","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","Offline_Backup_Concept.ps1","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\Offline_Backup_Concept.ps1
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Offline_Backup_Concept","System.Collections.Generic.List`1[System.String]",,"Offline_Backup_Concept.ps1","1074","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\Offline_Backup_Concept.ps1",".ps1","3/4/2021 6:09:46 PM","3/4/2021 11:09:46 PM","4/10/2021 4:37:51 PM","4/10/2021 8:37:51 PM","3/20/2021 3:49:52 PM","3/20/2021 7:49:52 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\TeamViewer_Setup.exe","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","TeamViewer_Setup.exe","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\TeamViewer_Setup.exe
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         English (United States)
","TeamViewer_Setup","System.Collections.Generic.List`1[System.String]",,"TeamViewer_Setup.exe","29325064","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\TeamViewer_Setup.exe",".exe","3/22/2021 2:02:41 PM","3/22/2021 6:02:41 PM","4/10/2021 4:37:51 PM","4/10/2021 8:37:51 PM","3/22/2021 2:02:47 PM","3/22/2021 6:02:47 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\Modern GB Yawgmoth Deck List - _KG (5-0, MTGO League).txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","Modern GB Yawgmoth Deck List - _KG (5-0, MTGO League).txt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\Modern GB Yawgmoth Deck List - _KG (5-0, MTGO League).txt
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Modern GB Yawgmoth Deck List - _KG (5-0, MTGO League)","System.Collections.Generic.List`1[System.String]",,"Modern GB Yawgmoth Deck List - _KG (5-0, MTGO League).txt","721","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\Modern GB Yawgmoth Deck List - _KG (5-0, MTGO League).txt",".txt","3/25/2021 6:14:02 PM","3/25/2021 10:14:02 PM","4/10/2021 4:37:51 PM","4/10/2021 8:37:51 PM","3/25/2021 6:14:13 PM","3/25/2021 10:14:13 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\Deck - Golgari Yawg.txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","Deck - Golgari Yawg.txt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\Deck - Golgari Yawg.txt
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Deck - Golgari Yawg","System.Collections.Generic.List`1[System.String]",,"Deck - Golgari Yawg.txt","737","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\Deck - Golgari Yawg.txt",".txt","3/25/2021 7:52:15 PM","3/25/2021 11:52:15 PM","4/10/2021 4:37:51 PM","4/10/2021 8:37:51 PM","3/25/2021 7:52:19 PM","3/25/2021 11:52:19 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\Build-a-Net-with-BGP-Starter-F17-Update.pkt","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","Build-a-Net-with-BGP-Starter-F17-Update.pkt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\Build-a-Net-with-BGP-Starter-F17-Update.pkt
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Build-a-Net-with-BGP-Starter-F17-Update","System.Collections.Generic.List`1[System.String]",,"Build-a-Net-with-BGP-Starter-F17-Update.pkt","112496","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\Build-a-Net-with-BGP-Starter-F17-Update.pkt",".pkt","3/28/2021 9:18:11 PM","3/29/2021 1:18:11 AM","4/10/2021 4:04:52 PM","4/10/2021 8:04:52 PM","3/28/2021 9:18:14 PM","3/29/2021 1:18:14 AM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\Eckhardt-8-1.pkt","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","Eckhardt-8-1.pkt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\Eckhardt-8-1.pkt
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","Eckhardt-8-1","System.Collections.Generic.List`1[System.String]",,"Eckhardt-8-1.pkt","122640","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\Eckhardt-8-1.pkt",".pkt","3/30/2021 10:36:46 AM","3/30/2021 2:36:46 PM","4/10/2021 4:37:52 PM","4/10/2021 8:37:52 PM","3/30/2021 10:36:47 AM","3/30/2021 2:36:47 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads\IPSEC-ClassLab-Start.pkt","Microsoft.PowerShell.Core\FileSystem::C:\Users\meckh\Downloads","IPSEC-ClassLab-Start.pkt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","File:             C:\Users\meckh\Downloads\IPSEC-ClassLab-Start.pkt
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","IPSEC-ClassLab-Start","System.Collections.Generic.List`1[System.String]",,"IPSEC-ClassLab-Start.pkt","108251","C:\Users\meckh\Downloads","C:\Users\meckh\Downloads","False","True","C:\Users\meckh\Downloads\IPSEC-ClassLab-Start.pkt",".pkt","4/4/2021 8:10:19 PM","4/5/2021 12:10:19 AM","4/10/2021 4:37:52 PM","4/10/2021 8:37:52 PM","4/4/2021 8:10:19 PM","4/5/2021 12:10:19 AM","Archive"
